,Vm,Pi,Pa,Pc,Dh
c0,29.869400349734313,0.008353190699023511,0.4625523419842878,0.1589593872764774,394.9082718164301
c1,59.540807579983394,0.0036751506084814756,0.4520061561254334,0.12557763253462056,394.9082718164301
c2,29.710821112835546,0.0019361053542282722,0.972527932990711,0.006538745489753597,394.9082718164301
c3,56.32889610506918,0.0028391226149383896,0.44575121084095826,0.008887497282310766,394.9082718164301
c4,57.38598768164604,0.0037922288024105685,0.39276864723360383,0.07682150999959358,193.69387899985543
c5,29.833918134614137,0.014823774532726522,0.5385525890002563,0.06765803871283747,193.69387899985543
c6,47.41865711023379,0.012258857722893184,0.3213614147171185,0.2602097076326274,193.69387899985543
c7,56.89074637322574,0.002185681758970664,0.5437261902347911,0.029288360741400316,193.69387899985543
c8,53.01059635407158,0.00766490204244781,0.40961433621362003,0.10663215090055275,36.286340992150244
c9,27.552834833512694,0.027327771082709194,0.4307490602931071,0.07876539371406477,36.286340992150244
c10,52.005765469418726,0.004061932873617141,0.6552802307139068,0.024812417147218976,36.286340992150244
c11,2.7803130057864394,0.8093661028692983,0.0875968055046708,0.8057482400024242,36.286340992150244
c12,8.097865437023387,0.6013536501369618,0.20249854137035955,0.6169149549373603,-115.543399109022
c13,51.229141135841864,0.010691941648533841,0.3298029142346114,0.16190913096424864,-115.543399109022
c14,59.21567675523416,0.0031392048230817413,0.5466127442463782,0.03548290552914675,-115.543399109022
c15,45.530963561523556,0.009482397863580926,0.609751766248635,0.04325086626439065,-115.543399109022
c16,63.464862811247045,0.0006263381784494242,0.5334388518798316,0.005947554565179015,-290.9229312868274
c17,50.51621904330271,0.001492781674563024,0.6847742809131101,0.01061660669188897,-290.9229312868274
c18,58.27032662001988,0.0012785187774774886,0.4311700249380254,0.15102996414429226,-290.9229312868274
c19,32.82188839885218,0.002839518629627598,0.07338573055215569,0.008914143555814678,-290.9229312868274
