,Vm,Pi,Pa,Pc,Dh,SOC
c0,2.7810599550271817,0.8092841968961306,0.08764591723544324,0.8056650357244505,36.284973721200444,1.6069228778467908
c1,27.582630394437565,0.027079457055450645,0.43263928207144725,0.07791741282909985,36.284973721200444,1.1718899061084402
c2,52.917040569640804,0.007732563075862835,0.40817763126190604,0.10788500183579919,36.284973721200444,1.262996228194248
c3,52.12825921771949,0.004045889368020694,0.6538088830579469,0.024829167172114794,36.284973721200444,1.122013818780115
c4,57.38686690995866,0.0037920441714775245,0.3927596705490352,0.0768190408539374,193.69721126373688,1.2009132420091322
c5,47.41805102324188,0.012259140141068254,0.32136680832923176,0.2602134651053436,193.69721126373688,0.9787451490475712
c6,56.89034566776446,0.0021856595269905237,0.5437278882802817,0.02928978774244198,193.69721126373688,1.1794094794094794
c7,29.834168178302267,0.014823536236279855,0.5385523769075928,0.06765767774336658,193.69721126373688,1.0992273642916282
c8,29.709811409808186,0.0019362641774777634,0.9725281682567191,0.0065405075074828345,394.9132506432394,1.1156487009521054
c9,56.33522016195299,0.0028386965048605908,0.446101889473567,0.008885015408131691,394.9132506432394,1.1666666666666667
c10,29.87199534736143,0.008350208641916722,0.4625278752610652,0.15897977256063617,394.9132506432394,0.9076727062132866
c11,59.534448643979864,0.0036777926043632557,0.4517684905776528,0.1255956829447576,394.9132506432394,1.2791666666666663
c12,50.44916372610612,0.0015046716091562243,0.6853914511706051,0.010694588100382325,-290.93155770255305,1.15204460349308
c13,58.27779403943234,0.0012771089596028795,0.43112282826271187,0.1509874896531327,-290.93155770255305,1.3815939986737398
c14,63.45483081199532,0.0006239552913836952,0.5338106389818915,0.005923348296606588,-290.93155770255305,1.4281524787927413
c15,32.854559168647796,0.0028358461122964256,0.07320152167621996,0.008911634902691083,-290.93155770255305,0.9914481505995111
c16,59.02743743929875,0.0029233919209798592,0.5696143956896857,0.031100916583664817,-115.55169087909218,1.4417249495108435
c17,52.02972988370411,0.009920342616460583,0.33033393258772614,0.16209923659871706,-115.55169087909218,1.221593744498078
c18,8.077658965070519,0.6019456668392954,0.20191394714645117,0.6174292158830395,-115.55169087909218,1.383229733229733
c19,44.283623023338194,0.011185196553163343,0.5828165463167858,0.05266821500193735,-115.55169087909218,1.458482721217231
