,distance,head,status,tail
0,31,"116.481216,39.989536",未知,"116.481003,39.989311"
1,6,"116.481003,39.989311",未知,"116.480949,39.989265"
2,7,"116.480949,39.989265",未知,"116.480896,39.989212"
3,112,"116.480835,39.989155",严重拥堵,"116.479843,39.989815"
4,18,"116.479843,39.989815",畅通,"116.47998,39.989937"
5,141,"116.47998,39.989937",畅通,"116.481049,39.990906"
6,10,"116.481049,39.990906",畅通,"116.481117,39.990978"
7,16,"116.481117,39.990978",畅通,"116.481239,39.991089"
8,196,"116.481239,39.991089",畅通,"116.482712,39.992451"
9,194,"116.482712,39.992451",畅通,"116.484444,39.99131"
10,144,"116.484444,39.99131",畅通,"116.485733,39.990471"
11,45,"116.485733,39.990471",缓行,"116.486122,39.9902"
12,43,"116.486122,39.9902",拥堵,"116.486519,39.989948"
13,149,"116.486519,39.989948",畅通,"116.487846,39.989075"
14,358,"116.48806,39.989052",畅通,"116.490784,39.991512"
15,103,"116.490784,39.991512",畅通,"116.491524,39.991364"
16,543,"116.491524,39.991364",缓行,"116.487411,39.987625"
17,245,"116.487411,39.987625",畅通,"116.485535,39.98595"
18,794,"116.485535,39.98595",畅通,"116.479523,39.980499"
19,648,"116.479523,39.980499",畅通,"116.474586,39.976059"
20,583,"116.474586,39.976059",畅通,"116.470161,39.972061"
21,173,"116.470161,39.972061",畅通,"116.468857,39.970871"
22,412,"116.468857,39.970871",畅通,"116.465706,39.968052"
23,962,"116.465706,39.968052",畅通,"116.458359,39.961475"
24,180,"116.458359,39.961475",畅通,"116.456993,39.960239"
25,89,"116.456993,39.960239",畅通,"116.456314,39.959621"
26,201,"116.456314,39.959621",畅通,"116.454788,39.958241"
27,107,"116.454788,39.958241",畅通,"116.453972,39.9575"
28,60,"116.453972,39.9575",畅通,"116.453514,39.957081"
29,229,"116.453514,39.957081",畅通,"116.451775,39.955505"
30,70,"116.451775,39.955505",畅通,"116.451248,39.955029"
31,179,"116.451248,39.955029",畅通,"116.449883,39.953796"
32,119,"116.449883,39.953796",畅通,"116.448997,39.952965"
33,387,"116.448997,39.952965",畅通,"116.446014,39.950329"
34,168,"116.446014,39.950329",畅通,"116.44426,39.949707"
35,172,"116.44426,39.949707",畅通,"116.442238,39.949661"
36,212,"116.442238,39.949661",畅通,"116.439758,39.949631"
37,9,"116.439758,39.949631",畅通,"116.439651,39.949631"
38,34,"116.439651,39.949631",畅通,"116.439255,39.949631"
39,210,"116.439255,39.949631",畅通,"116.43679,39.949635"
40,111,"116.43679,39.949635",畅通,"116.435493,39.949619"
41,254,"116.435493,39.949619",畅通,"116.432846,39.950176"
42,387,"116.432846,39.950176",畅通,"116.433571,39.946934"
43,148,"116.433571,39.946934",畅通,"116.433548,39.945595"
44,105,"116.433548,39.945595",畅通,"116.433647,39.944645"
45,63,"116.433647,39.944645",畅通,"116.433647,39.944077"
46,38,"116.433647,39.944077",畅通,"116.433632,39.943729"
47,617,"116.433632,39.943729",畅通,"116.43383,39.938164"
48,79,"116.43383,39.938164",畅通,"116.433861,39.937454"
49,114,"116.433861,39.937454",畅通,"116.433914,39.936413"
50,67,"116.433914,39.936413",畅通,"116.433937,39.935814"
51,485,"116.433937,39.935814",畅通,"116.434143,39.931446"
52,41,"116.434143,39.931446",畅通,"116.434151,39.931068"
53,77,"116.434151,39.931068",畅通,"116.434166,39.93037"
54,93,"116.434166,39.93037",畅通,"116.434212,39.929539"
55,88,"116.434212,39.929539",畅通,"116.43425,39.928741"
56,48,"116.43425,39.928741",畅通,"116.434265,39.928299"
57,144,"116.434265,39.928299",畅通,"116.434311,39.926994"
58,517,"116.434311,39.926994",缓行,"116.434525,39.922337"
59,76,"116.434525,39.922337",缓行,"116.434563,39.921654"
60,91,"116.434563,39.921654",缓行,"116.434586,39.920837"
61,123,"116.434586,39.920837",缓行,"116.434639,39.919716"
62,193,"116.434639,39.919716",缓行,"116.434723,39.917976"
63,34,"116.434723,39.917976",畅通,"116.434723,39.917671"
64,189,"116.434723,39.917671",畅通,"116.434807,39.91597"
65,221,"116.434807,39.91597",畅通,"116.434921,39.913979"
66,52,"116.434921,39.913979",畅通,"116.434998,39.913506"
67,51,"116.434998,39.913506",畅通,"116.435074,39.913048"
68,235,"116.435074,39.913048",缓行,"116.435555,39.910969"
69,135,"116.435555,39.910969",缓行,"116.435646,39.909748"
70,260,"116.435646,39.909748",畅通,"116.435753,39.907406"
71,144,"116.435753,39.907406",畅通,"116.435822,39.906105"
72,33,"116.435822,39.906105",畅通,"116.435867,39.905804"
73,29,"116.435867,39.905804",畅通,"116.435905,39.90554"
74,38,"116.435905,39.90554",缓行,"116.435699,39.905258"
75,19,"116.435699,39.905258",畅通,"116.435486,39.905197"
76,58,"116.435486,39.905197",畅通,"116.434807,39.905174"
77,108,"116.434807,39.905174",畅通,"116.43354,39.90517"
78,17,"116.43354,39.90517",畅通,"116.433334,39.905174"
79,81,"116.433334,39.905174",畅通,"116.432381,39.905132"
80,82,"116.432381,39.905132",畅通,"116.432312,39.905876"
81,44,"116.432312,39.905876",畅通,"116.432312,39.906265"
82,41,"116.432312,39.906265",畅通,"116.432312,39.906651"
83,25,"116.432312,39.906651",畅通,"116.432304,39.906876"
84,109,"116.432304,39.906876",畅通,"116.432266,39.907867"
85,64,"116.432266,39.907867",畅通,"116.432259,39.90844"
86,188,"116.432259,39.90844",拥堵,"116.434433,39.908394"
